Away Team,Home Team,Winner
Michigan St.,Kansas,Kansas
Duke,Kentucky,Duke
Idaho St.,Gonzaga,Gonzaga
Towson,Virginia,Virginia
BYU,Nevada,Nevada
North Carolina,Wofford,North Carolina
Morgan St.,Villanova,Villanova
South Alabama,Auburn,Auburn
Portland St.,Oregon,Oregon
Eastern Washington,Syracuse,Syracuse
Florida,Florida St.,Florida St.
Norfolk St.,Michigan,Michigan
Fort Wayne,UCLA,UCLA
The Citadel,Clemson,Clemson
Southeastern Louisiana,LSU,LSU
Fairfield,Purdue,Purdue
Western Kentucky,Washington,Washington
Alabama A&M,South Florida,South Florida
Alabama St.,Iowa St.,Iowa St.
Alcorn St.,Tulsa,Tulsa
Arkansas Pine Bluff,San Diego St.,San Diego St.
Boston University,Northeastern,Boston University
Bryant,Rhode Island,Rhode Island
Cal St. Fullerton,Arizona St.,Arizona St.
UC Riverside,Oregon St.,Oregon St.
UC Santa Barbara,Wyoming,UC Santa Barbara
Central Arkansas,Missouri,Missouri
Central Connecticut,Hartford,Central Connecticut
Chattanooga,Charlotte,Chattanooga
Chicago St.,Indiana,Indiana
Cleveland St.,Davidson,Davidson
Colgate,NJIT,NJIT
Coppin St.,Wisconsin,Wisconsin
Cornell,Binghamton,Cornell
Delaware,Maryland,Maryland
Delaware St.,East Carolina,East Carolina
Detroit,Western Michigan,Western Michigan
East Tennessee St.,Georgia St.,Georgia St.
Eastern Illinois,Texas,Texas
Elon,Manhattan,Elon
Florida A&M,Jacksonville,Florida A&M
Florida Gulf Coast,Illinois St.,Illinois St.
Gardner Webb,VCU,VCU
Grand Canyon,South Dakota St.,South Dakota St.
Idaho,UC Irvine,UC Irvine
Illinois Chicago,Notre Dame,Notre Dame
Incarnate Word,Texas Tech,Texas Tech
Indiana St.,Ball St.,Ball St.
IUPUI,Xavier,Xavier
La Salle,Temple,Temple
Lehigh,Monmouth,Lehigh
Louisiana Monroe,Jackson St.,Louisiana Monroe
Louisiana Tech,Wichita St.,Louisiana Tech
Loyola MD,St. John's,St. John's
Maine,Denver,Denver
Marist,Army,Army
UMBC,Marquette,Marquette
Maryland Eastern Shore,Georgetown,Georgetown
UMass Lowell,Massachusetts,Massachusetts
Mercer,UAB,UAB
Milwaukee,Boston College,Boston College
Mississippi Valley St.,Nebraska,Nebraska
UMKC,Loyola Chicago,Loyola Chicago
Mount St. Mary's,North Carolina St.,North Carolina St.
Navy,Old Dominion,Old Dominion
Nebraska Omaha,Minnesota,Minnesota
New Mexico,Cal St. Northridge,New Mexico
North Alabama,Samford,Samford
UNC Greensboro,North Carolina A&T,UNC Greensboro
UNC Wilmington,Campbell,Campbell
North Dakota St.,New Mexico St.,New Mexico St.
Oral Roberts,Missouri St.,Missouri St.
Pacific,SIU Edwardsville,Pacific
Penn,George Mason,Penn
Presbyterian,College of Charleston,College of Charleston
Rider,UCF,UCF
Robert Morris,USC,USC
Sacred Heart,Holy Cross,Holy Cross
St. Francis PA,Buffalo,Buffalo
San Francisco,UC Davis,San Francisco
Seattle,Stanford,Stanford
Siena,Providence,Providence
USC Upstate,South Carolina,South Carolina
Southeast Missouri St.,Saint Louis,Saint Louis
Southern,Alabama,Alabama
Stony Brook,George Washington,Stony Brook
Tennessee Tech,Memphis,Memphis
Texas Southern,Baylor,Texas Southern
Utah St.,Montana St.,Utah St.
Wagner,Seton Hall,Seton Hall
Weber St.,San Diego,San Diego
Western Illinois,Creighton,Creighton
Winthrop,Vanderbilt,Vanderbilt
Youngstown St.,Pittsburgh,Pittsburgh
Cal St. Bakersfield,TCU,TCU
Bethune Cookman,DePaul,DePaul
Bucknell,St. Bonaventure,Bucknell
High Point,William & Mary,William & Mary
Houston Baptist,Arizona,Arizona
Lafayette,Saint Peter's,Saint Peter's
Marshall,Eastern Kentucky,Marshall
McNeese St.,Saint Mary's,Saint Mary's
North Florida,Dayton,Dayton
Ohio St.,Cincinnati,Ohio St.
Savannah St.,Texas A&M,Texas A&M
Western Carolina,Wright St.,Wright St.
Alabama St.,South Dakota St.,South Dakota St.
Chicago St.,Notre Dame,Notre Dame
Evansville,Illinois,Illinois
Maine,Utah,Utah
UMKC,Iowa,Iowa
Morehead St.,Connecticut,Connecticut
New Orleans,Northwestern,Northwestern
Nicholls St.,Louisville,Louisville
Northwestern St.,SMU,SMU
Siena,George Washington,Siena
Southern Illinois,Kentucky,Kentucky
Louisiana Lafayette,Tennessee,Tennessee
Pacific,Nevada,Nevada
North Carolina,Elon,North Carolina
Washington,Auburn,Auburn
Kennesaw St.,Kansas St.,Kansas St.
Buffalo,West Virginia,Buffalo
Eastern Washington,Oregon,Oregon
Gardner Webb,Virginia Tech,Virginia Tech
Austin Peay,Mississippi St.,Mississippi St.
Long Beach St.,UCLA,UCLA
North Carolina Central,Clemson,Clemson
UNC Greensboro,LSU,LSU
Air Force,Texas St.,Texas St.
Albany,Iona,Iona
American,George Mason,American
Arkansas,Texas,Texas
Arkansas St.,Abilene Christian,Abilene Christian
Bowling Green,St. John's,St. John's
Brown,LIU Brooklyn,LIU Brooklyn
UC Irvine,Texas A&M,UC Irvine
Charleston Southern,Florida,Florida
Chicago St.,Central Michigan,Central Michigan
Coastal Carolina,Campbell,Coastal Carolina
Dartmouth,Davidson,Davidson
Detroit,Temple,Temple
Drexel,Eastern Michigan,Eastern Michigan
Fairleigh Dickinson,Rutgers,Rutgers
Furman,Loyola Chicago,Furman
Georgia St.,Montana,Montana
Hampton,VCU,VCU
Hartford,Utah St.,Utah St.
Illinois Chicago,Radford,Radford
Indiana St.,Green Bay,Indiana St.
Jacksonville St.,Samford,Samford
James Madison,East Carolina,James Madison
Lamar,Georgia Tech,Georgia Tech
Lehigh,Miami FL,Miami FL
Longwood,Richmond,Longwood
Maryland,Navy,Maryland
McNeese St.,Arizona St.,Arizona St.
Mississippi Valley St.,Texas Tech,Texas Tech
Missouri,Iowa St.,Iowa St.
Monmouth,Colgate,Colgate
Montana St.,Indiana,Indiana
Morgan St.,St. Francis PA,St. Francis PA
Mount St. Mary's,Hofstra,Hofstra
New Hampshire,Massachusetts,Massachusetts
NJIT,Binghamton,NJIT
North Florida,Penn St.,Penn St.
Northeastern,Harvard,Northeastern
Northern Kentucky,Northern Illinois,Northern Kentucky
Oklahoma,UT Rio Grande Valley,Oklahoma
Old Dominion,Saint Joseph's,Saint Joseph's
Portland,Hawaii,Hawaii
Prairie View A&M,Santa Clara,Prairie View A&M
Rice,Penn,Penn
Robert Morris,Missouri St.,Missouri St.
San Diego,UC Davis,San Diego
Savannah St.,Georgia,Georgia
Stanford,UNC Wilmington,Stanford
Stony Brook,South Carolina,Stony Brook
UTEP,New Mexico St.,New Mexico St.
Toledo,Oakland,Toledo
Utah Valley,BYU,BYU
Vermont,Boston University,Vermont
VMI,Pittsburgh,Pittsburgh
Wichita St.,Providence,Wichita St.
Yale,California,Yale
Texas Southern,Gonzaga,Gonzaga
Quinnipiac,Villanova,Villanova
Morehead St.,Syracuse,Syracuse
Holy Cross,Michigan,Michigan
Ball St.,Purdue,Purdue
Akron,Youngstown St.,Akron
