Away Team,Home Team,Winner
Fairleigh Dickinson,Gonzaga,Gonzaga
Abilene Christian,Kentucky,Kentucky
Bradley,Michigan St.,Michigan St.
Montana,Michigan,Michigan
Old Dominion,Purdue,Purdue
Yale,LSU,LSU
Northeastern,Kansas,Kansas
Vermont,Florida St.,Florida St.
Murray St.,Marquette,Murray St.
New Mexico St.,Auburn,Auburn
Belmont,Maryland,Maryland
Saint Mary's,Villanova,Villanova
Florida,Nevada,Florida
Minnesota,Louisville,Minnesota
Seton Hall,Wofford,Wofford
Baylor,Syracuse,Baylor
Gardner Webb,Virginia,Virginia
Iona,North Carolina,North Carolina
North Dakota St.,Duke,Duke
Colgate,Tennessee,Tennessee
Georgia St.,Houston,Houston
Northern Kentucky,Texas Tech,Texas Tech
UC Irvine,Kansas St.,UC Irvine
Saint Louis,Virginia Tech,Virginia Tech
Liberty,Mississippi St.,Liberty
Oregon,Wisconsin,Oregon
Arizona St.,Buffalo,Buffalo
Ohio St.,Iowa St.,Ohio St.
Iowa,Cincinnati,Iowa
UCF,VCU,UCF
Oklahoma,Mississippi,Oklahoma
Washington,Utah St.,Washington
Baylor,Gonzaga,Gonzaga
Florida,Michigan,Michigan
Minnesota,Michigan St.,Michigan St.
Wofford,Kentucky,Kentucky
Maryland,LSU,LSU
Villanova,Purdue,Purdue
Auburn,Kansas,Auburn
Murray St.,Florida St.,Florida St.
UCF,Duke,Duke
Oklahoma,Virginia,Virginia
Washington,North Carolina,North Carolina
Iowa,Tennessee,Tennessee
Buffalo,Texas Tech,Texas Tech
Ohio St.,Houston,Houston
Liberty,Virginia Tech,Virginia Tech
UC Irvine,Oregon,Oregon
Florida St.,Gonzaga,Gonzaga
Oregon,Virginia,Virginia
Purdue,Tennessee,Purdue
Texas Tech,Michigan,Texas Tech
Auburn,North Carolina,Auburn
Virginia Tech,Duke,Duke
Houston,Kentucky,Kentucky
LSU,Michigan St.,Michigan St.
Purdue,Virginia,Virginia
Texas Tech,Gonzaga,Texas Tech
Auburn,Virginia,Virginia
Texas Tech,Michigan St.,Texas Tech
Texas Tech,Virginia,Virginia
