Away Team,Home Team,Winner,t1_points,t2_points,Away Win,pts_difference
Fairleigh Dickinson,Gonzaga,Gonzaga,194.4,233.7,N,0.6147859922178988
Abilene Christian,Kentucky,Kentucky,190.7,218.2,N,0.5525291828793774
Bradley,Michigan St.,Michigan St.,192.1,220.4,N,0.07198443579766539
Montana,Michigan,Michigan,191.8,217.8,N,0.11381322957198431
Old Dominion,Purdue,Purdue,193.6,217.39999999999998,N,0.441634241245136
Yale,LSU,LSU,207.1,220.4,N,0.6245136186770425
Northeastern,Kansas,Kansas,201.5,215.4,N,0.1896887159533071
Vermont,Florida St.,Florida St.,197.9,209.8,N,0.24221789883268485
Murray St.,Marquette,Murray St.,206.3,210.3,Y,0.2752918287937742
New Mexico St.,Auburn,Auburn,207.0,219.5,N,0.3132295719844357
Belmont,Maryland,Maryland,208.2,212.6,N,0.5126459143968868
Saint Mary's,Villanova,Villanova,212.0,210.89999999999998,N,0.17315175097276247
Florida,Nevada,Florida,206.2,204.1,Y,0.4601167315175096
Minnesota,Louisville,Minnesota,203.5,209.2,Y,0.29085603112840475
Seton Hall,Wofford,Wofford,205.0,213.3,N,0.2626459143968869
Baylor,Syracuse,Baylor,208.8,209.7,Y,0.16634241245136178
Gardner Webb,Virginia,Virginia,195.9,229.6,N,0.4542801556420233
Iona,North Carolina,North Carolina,196.60000000000002,228.89999999999998,N,0.25583657587548647
North Dakota St.,Duke,Duke,195.8,227.9,N,0.14494163424124462
Colgate,Tennessee,Tennessee,204.3,228.3,N,0.24902723735408555
Georgia St.,Houston,Houston,196.9,216.8,N,0.31712062256809304
Northern Kentucky,Texas Tech,Texas Tech,193.0,216.5,N,0.4095330739299611
UC Irvine,Kansas St.,UC Irvine,195.0,205.6,Y,0.3424124513618676
Saint Louis,Virginia Tech,Virginia Tech,194.7,213.5,N,0.3745136186770426
Liberty,Mississippi St.,Liberty,206.0,216.5,Y,0.32198443579766534
Oregon,Wisconsin,Oregon,196.7,199.9,Y,0.6293774319066148
Arizona St.,Buffalo,Buffalo,204.0,211.2,N,0.29571984435797644
Ohio St.,Iowa St.,Ohio St.,204.39999999999998,212.2,Y,0.4105058365758757
Iowa,Cincinnati,Iowa,209.89999999999998,212.89999999999998,Y,0.5933852140077819
UCF,VCU,UCF,200.3,197.89999999999998,Y,0.13326848249027196
Oklahoma,Mississippi,Oklahoma,208.4,206.39999999999998,Y,0.37159533073929923
Washington,Utah St.,Washington,202.39999999999998,204.39999999999998,Y,0.6060311284046691
Baylor,Gonzaga,Gonzaga,204.5,222.60000000000002,N,0.13132295719844328
Florida,Michigan,Michigan,195.89999999999998,206.2,N,0.6439688715953307
Minnesota,Michigan St.,Michigan St.,201.4,216.2,N,0.27042801556420215
Wofford,Kentucky,Kentucky,206.2,214.6,N,0.323929961089494
Maryland,LSU,LSU,208.2,211.2,N,0.5369649805447467
Villanova,Purdue,Purdue,208.89999999999998,221.7,N,0.5389105058365757
Auburn,Kansas,Auburn,213.7,208.10000000000002,Y,0.23346303501945553
Murray St.,Florida St.,Florida St.,201.3,210.3,N,0.5700389105058365
UCF,Duke,Duke,201.9,212.2,N,0.4951361867704278
Oklahoma,Virginia,Virginia,200.4,216.1,N,0.5214007782101168
Washington,North Carolina,North Carolina,197.0,213.2,N,0.3618677042801556
Iowa,Tennessee,Tennessee,211.3,223.39999999999998,N,0.5136186770428014
Buffalo,Texas Tech,Texas Tech,198.8,210.5,N,0.21108949416342399
Ohio St.,Houston,Houston,198.3,209.5,N,0.4523346303501946
Liberty,Virginia Tech,Virginia Tech,202.60000000000002,217.39999999999998,N,0.027237354085602905
UC Irvine,Oregon,Oregon,198.9,205.7,N,0.47470817120622555
Florida St.,Gonzaga,Gonzaga,201.60000000000002,214.3,N,0.39299610894941617
Oregon,Virginia,Virginia,198.0,214.7,N,0.3910505836575875
Purdue,Tennessee,Purdue,218.0,217.1,Y,0.6177042801556418
Texas Tech,Michigan,Texas Tech,200.8,199.8,Y,0.6955252918287939
Auburn,North Carolina,Auburn,212.7,215.3,Y,0.42996108949416334
Virginia Tech,Duke,Duke,207.0,212.3,N,0.36964980544747056
Houston,Kentucky,Kentucky,205.5,208.0,N,0.48735408560311283
LSU,Michigan St.,Michigan St.,208.9,216.5,N,0.529182879377432
Purdue,Virginia,Virginia,212.7,217.3,N,0.31614785992217875
Texas Tech,Gonzaga,Texas Tech,205.10000000000002,208.60000000000002,Y,0.19163424124513578
Auburn,Virginia,Virginia,211.2,218.2,N,0.48443579766536954
Texas Tech,Michigan St.,Texas Tech,206.2,205.10000000000002,Y,0.4892996108949415
Texas Tech,Virginia,Virginia,205.10000000000002,208.2,N,0.4017509727626455
